0.00 0
0.10 0
0.20 0
0.30 0
0.40 0
0.50 0
0.60 0
0.70 0
0.80 0
0.90 0
1.00 0
1.10 0
1.20 0
1.30 0
1.40 1
1.50 1
1.60 1
1.70 1
1.80 0
1.90 2
2.00 3
2.10 6
2.20 15
2.30 13
2.40 15
2.50 19
2.60 28
2.70 40
2.80 38
2.90 54
3.00 60
3.10 79
3.20 84
3.30 107
3.40 124
3.50 133
3.60 176
3.70 151
3.80 197
3.90 209
4.00 236
4.10 284
4.20 282
4.30 321
4.40 303
4.50 373
4.60 382
4.70 384
4.80 386
4.90 402
5.00 417
5.10 378
5.20 396
5.30 389
5.40 372
5.50 342
5.60 318
5.70 314
5.80 277
5.90 273
6.00 224
6.10 203
6.20 172
6.30 142
6.40 161
6.50 126
6.60 121
6.70 93
6.80 75
6.90 56
7.00 44
7.10 46
7.20 34
7.30 26
7.40 22
7.50 17
7.60 12
7.70 12
7.80 4
7.90 13
8.00 4
8.10 2
8.20 1
8.30 1
8.40 0
8.50 3
8.60 0
8.70 0
8.80 0
8.90 0
9.00 0
9.10 0
9.20 0
9.30 0
9.40 0
9.50 0
9.60 0
9.70 0
9.80 0
9.90 0
